employee_name,pay_rate,hours_worked
Rebekkah MacGilrewy,$19.92,23
Chucho Yanuk,$18.74,41
Eldin Fromant,$16.14,26
Silvie Tackle,$40.61,41
Fleurette Arents,$26.56,32
Ammamaria Pillman,$23.71,39
Nikolos Bryden,$25.13,37
Susann Maughan,$25.34,32
Alex Bartocci,$27.21,37
Alyse Fanti,$36.04,50
Moe Gynni,$35.69,32
Fleming Louys,$23.54,32
Morgana Heartfield,$38.66,40
Inger Hampstead,$41.14,31
Dannie Druhan,$29.99,23
Deana Minget,$15.56,24
Marrissa Brennenstuhl,$29.72,23
Wald Nawton,$28.15,41
Jemie McNern,$39.01,33
Grover Gann,$20.85,26
Phyllys Booeln,$46.29,49
Lonny Coveny,$41.21,28
Pauline Whitta,$17.21,26
Cynthea Brigdale,$26.65,28
Nora Cawsby,$24.20,30
Dominic Union,$20.61,27
Maria Dewitt,$49.86,38
Guthry Rule,$48.78,37
Arvin Shuker,$41.00,27
Salvidor Valdes,$25.25,41
Hillary Jirusek,$22.02,42
Debera D'Ambrosi,$31.69,25
Cammie Halse,$43.07,31
Joice Maundrell,$16.38,25
Kimmi Yesinov,$28.31,29
Faber Kellett,$45.20,40
Gardner Hasel,$31.71,45
Addi Scougall,$22.46,42
Desiree Jewsbury,$41.70,36
Ashlan Avrahamov,$30.80,43
Blakelee Glenny,$39.83,38
Locke Armin,$31.21,31
Kora Yarr,$17.36,27
Sayer Hellyar,$31.56,22
Amanda Pudan,$16.05,49
Gerladina Pecha,$30.47,46
Benedetta Karlmann,$16.56,24
Forest Davidde,$41.90,44
Urbain Strangward,$48.05,24
Theo Butchard,$46.18,41
